ratio,year,class_id,title,class,basename,url
1,2025,1,Context-aware Rotary Position Embedding (CARoPE),POS-ENCDR,Context-aware Rotary Position Embedding (CARoPE),https://arxiv.org/pdf/2507.23083.pdf
1,2025,1,EVA02-AT: Egocentric Video-Language with Spatial-Temporal RoPE,POS-ENCDR,EVA02-AT- Egocentric Video-Language with Spatial-Temporal RoPE,https://arxiv.org/pdf/2506.14356.pdf
1,2025,1,Head-Wise Adaptive Rotary Positional Encoding (HARoPE),POS-ENCDR,Head-Wise Adaptive Rotary Positional Encoding (HARoPE),https://arxiv.org/pdf/2510.10489.pdf
1,2025,1,LOOPE: Learnable Optimal Patch Order in Vision Transformers,POS-ENCDR,LOOPE- Learnable Optimal Patch Order in Vision Transformers,https://arxiv.org/pdf/2504.14386.pdf
1,2025,1,Rotary Masked Autoencoders Are Versatile Learners,POS-ENCDR,Rotary Masked Autoencoders Are Versatile Learners,https://arxiv.org/pdf/2505.20535.pdf
1,2025,2,BWFormer: Building Wireframe Reconstruction from Airborne LiDAR Point Cloud with Transformer (BWFormer),XFORM-DIM,BWFormer- Building Wireframe Reconstruction from Airborne LiDAR Point Cloud with Transformer (BWFormer),https://openaccess.thecvf.com/content/CVPR2025/papers/Liu_BWFormer_Building_Wireframe_Reconstruction_from_Airborne_LiDAR_Point_Cloud_with_CVPR_2025_paper.pdf
1,2025,2,Direction-Aware Diagonal Autoregressive Image Generation,XFORM-DIM,Direction-Aware Diagonal Autoregressive Image Generation,https://arxiv.org/pdf/2503.11129.pdf
1,2025,2,LVSM: A Large View Synthesis Model with Minimal 3D Inductive Bias,XFORM-DIM,LVSM- A Large View Synthesis Model with Minimal 3D Inductive Bias,https://arxiv.org/pdf/2410.17242.pdf
1,2025,2,SparseVoxFormer: Sparse Voxel-based Transformer for Multi-modal 3D Object Detection,XFORM-DIM,SparseVoxFormer- Sparse Voxel-based Transformer for Multi-modal 3D Object Detection,https://arxiv.org/pdf/2503.08092.pdf
1,2026,1,LooseRoPE: Content-aware Attention Manipulation for Semantic Harmonization,POS-ENCDR,LooseRoPE- Content-aware Attention Manipulation for Semantic Harmonization,https://arxiv.org/pdf/2601.05127.pdf
0,2018,1,Self-Attention with Relative Position Representations,POS-ENCDR,Self-Attention with Relative Position Representations,https://arxiv.org/pdf/1803.02155.pdf
0,2019,1,Encoding Word Order in Complex Embeddings,POS-ENCDR,Encoding Word Order in Complex Embeddings,https://arxiv.org/pdf/1912.12333.pdf
0,2020,2,SETR: Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers,XFORM-DIM,SETR- Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers,https://arxiv.org/pdf/2012.15840.pdf
0,2022,2,An Improved End-to-End Multi-Target Tracking Method Based on Transformer Self-Attention,XFORM-DIM,An Improved End-to-End Multi-Target Tracking Method Based on Transformer Self-Attention,https://arxiv.org/pdf/2211.06001.pdf
0,2022,2,ViTDet: Exploring Plain ViT Backbones for Object Detection,XFORM-DIM,ViTDet- Exploring Plain ViT Backbones for Object Detection,https://arxiv.org/pdf/2203.16527.pdf
0,2023,1,Spherical Position Encoding for Transformers,POS-ENCDR,Spherical Position Encoding for Transformers,https://arxiv.org/pdf/2310.04454.pdf
0,2024,1,RoPE scaling analysis + new scaling,POS-ENCDR,RoPE scaling analysis + new scaling,https://aclanthology.org/2024.emnlp-main.414.pdf
0,2024,2,A 2D nGPT Model For Arc Prize,XFORM-DIM,A 2D nGPT Model For Arc Prize,https://raw.githubusercontent.com/jfpuget/ARC-AGI-Challenge-2024/main/arc.pdf
0,2024,2,OneFormer3D: One Transformer for Unified Point Cloud Segmentation (OneFormer3D),XFORM-DIM,OneFormer3D- One Transformer for Unified Point Cloud Segmentation (OneFormer3D),https://openaccess.thecvf.com/content/CVPR2024/papers/Kolodiazhnyi_OneFormer3D_One_Transformer_for_Unified_Point_Cloud_Segmentation_CVPR_2024_paper.pdf
0,2024,2,"Point Transformer V3: Simpler, Faster, Stronger",XFORM-DIM,"Point Transformer V3- Simpler, Faster, Stronger",https://openaccess.thecvf.com/content/CVPR2024/papers/Wu_Point_Transformer_V3_Simpler_Faster_Stronger_CVPR_2024_paper.pdf
0,2024,2,Transformer based 3D tooth segmentation via point cloud region partition (PointRegion),XFORM-DIM,Transformer based 3D tooth segmentation via point cloud region partition (PointRegion),https://www.nature.com/articles/s41598-024-79485-x.pdf
0,2025,1,CoPE: A Lightweight Complex Positional Encoding,POS-ENCDR,CoPE- A Lightweight Complex Positional Encoding,https://arxiv.org/pdf/2508.18308.pdf
0,2025,1,Selective Rotary Position Embedding,POS-ENCDR,Selective Rotary Position Embedding,https://arxiv.org/pdf/2511.17388.pdf
0,2025,1,TransXSSM: Hybrid Transformer–SSM with Unified RoPE,POS-ENCDR,TransXSSM- Hybrid Transformer–SSM with Unified RoPE,https://arxiv.org/pdf/2506.09507.pdf
0,2025,2,ARC Is a Vision Problem!,XFORM-DIM,ARC Is a Vision Problem!,https://arxiv.org/pdf/2511.14761.pdf
0,2025,2,DT-NVS: Diffusion Transformers for Novel View Synthesis,XFORM-DIM,DT-NVS- Diffusion Transformers for Novel View Synthesis,https://arxiv.org/pdf/2511.08823.pdf
0,2025,2,Relation3D: Enhancing Relation Modeling for Point Cloud Instance Segmentation,XFORM-DIM,Relation3D- Enhancing Relation Modeling for Point Cloud Instance Segmentation,https://openaccess.thecvf.com/content/CVPR2025/papers/Lu_Relation3D__Enhancing_Relation_Modeling_for_Point_Cloud_Instance_Segmentation_CVPR_2025_paper.pdf
0,2025,2,UltraShape 1.0: High-Fidelity 3D Shape Generation via Scalable Geometric Refinement,XFORM-DIM,UltraShape 1.0- High-Fidelity 3D Shape Generation via Scalable Geometric Refinement,https://arxiv.org/pdf/2512.21185.pdf
