year,title,class,filename,url
2025,Enhancing Modern SAT Solver With Machine Learning,COMP-REAS,Enhancing Modern SAT Solver With Machine Learning.pdf,https://dl.acm.org/doi/pdf/10.1145/3716368.3735251
2025,From Parrots to Von Neumanns: How Evolutionary Test-Time Compute Achieved SOTA on ARC-AGI,COMP-REAS,From Parrots to Von Neumanns- How Evolutionary Test-Time Compute Achieved SOTA on ARC-AGI.pdf,https://raw.githubusercontent.com/jerber/arc-lang-public/main/from_parrots_to_von_neumanns.pdf
2025,H-ARC (Human-ARC): A Comprehensive Behavioral Dataset for the Abstraction and Reasoning Corpus,DATA-BNCH,H-ARC (Human-ARC)- A Comprehensive Behavioral Dataset for the Abstraction and Reasoning Corpus.pdf,https://www.nature.com/articles/s41597-025-05687-1.pdf
2025,HARPE: Head-Adaptive Rotary Position Encoding,POS-ENCDR,HARPE- Head-Adaptive Rotary Position Encoding.pdf,https://aclanthology.org/2025.coling-main.326.pdf
2025,Hierarchical Reasoning Model (HRM),COMP-REAS,Hierarchical Reasoning Model (HRM).pdf,https://arxiv.org/pdf/2506.21734.pdf
2025,LVSM: A Large View Synthesis Model with Minimal 3D Inductive Bias,XFORM-DIM,LVSM- A Large View Synthesis Model with Minimal 3D Inductive Bias.pdf,https://arxiv.org/pdf/2410.17242.pdf
2025,Learning Modular Exponentiation with Transformers,ML-FNDTNS,Learning Modular Exponentiation with Transformers.pdf,https://arxiv.org/pdf/2506.23679.pdf
2025,MMMU-Pro: A More Robust Multi-discipline Multimodal Understanding and Reasoning Benchmark,DATA-BNCH,MMMU-Pro- A More Robust Multi-discipline Multimodal Understanding and Reasoning Benchmark.pdf,https://aclanthology.org/2025.acl-long.736.pdf
2025,Mastering diverse control tasks through world models (DreamerV3),ML-FNDTNS,Mastering diverse control tasks through world models (DreamerV3).pdf,https://www.nature.com/articles/s41586-025-08744-2.pdf
2025,MathClean: A Benchmark for Synthetic Mathematical Data,DATA-BNCH,MathClean- A Benchmark for Synthetic Mathematical Data.pdf,https://arxiv.org/pdf/2502.19058.pdf
2025,Maximizing the Position Embedding for Vision Transformers (MPVG),POS-ENCDR,Maximizing the Position Embedding for Vision Transformers (MPVG).pdf,https://arxiv.org/pdf/2502.02919.pdf
2025,NVARC solution to ARC-AGI-2 2025,DATA-BNCH,NVARC solution to ARC-AGI-2 2025.pdf,https://drive.google.com/uc?export=download&id=1vkEluaaJTzaZiJL69TkZovJUkPSDH5Xc
2025,Nested Learning: The Illusion of Deep Learning Architecture,COMP-REAS,Nested Learning- The Illusion of Deep Learning Architecture.pdf,https://openreview.net/pdf?id=nbMeRvNb7A
2025,Olympiad-level formal mathematical reasoning with large language models (AlphaProof),COMP-REAS,Olympiad-level formal mathematical reasoning with large language models (AlphaProof).pdf,https://www.nature.com/articles/s41586-025-09833-y.pdf
2025,PanSt3R: Multi-view Consistent Panoptic Segmentation,XFORM-DIM,PanSt3R- Multi-view Consistent Panoptic Segmentation.pdf,https://openaccess.thecvf.com/content/ICCV2025/papers/Zust_PanSt3R_Multi-view_Consistent_Panoptic_Segmentation_ICCV_2025_paper.pdf
2025,Point mask transformer for outdoor point cloud semantic segmentation (PMFormer),XFORM-DIM,Point mask transformer for outdoor point cloud semantic segmentation (PMFormer).pdf,https://www.sciopen.com/article_pdf/1942505668075868162.pdf
2025,Point-voxel dual transformer for LiDAR 3D object detection (PV-DT3D),XFORM-DIM,Point-voxel dual transformer for LiDAR 3D object detection (PV-DT3D).pdf,https://www.researching.cn/ArticlePdf/m00050/2025/21/9/6.pdf
2025,Product of Experts with LLMs: Boosting Performance on ARC Is a Matter of Perspective,COMP-REAS,Product of Experts with LLMs- Boosting Performance on ARC Is a Matter of Perspective.pdf,https://arxiv.org/pdf/2505.07859.pdf
2025,R-PRM: Reasoning-Driven Process Reward Modeling,ML-FNDTNS,R-PRM- Reasoning-Driven Process Reward Modeling.pdf,https://aclanthology.org/2025.emnlp-main.679.pdf
2025,Reflection System for the Abstraction and Reasoning Corpus,COMP-REAS,Reflection System for the Abstraction and Reasoning Corpus.pdf,https://openreview.net/pdf?id=kRFwzuv0ze
2025,Relation3D: Enhancing Relation Modeling for Point Cloud Instance Segmentation,XFORM-DIM,Relation3D- Enhancing Relation Modeling for Point Cloud Instance Segmentation.pdf,https://openaccess.thecvf.com/content/CVPR2025/papers/Lu_Relation3D__Enhancing_Relation_Modeling_for_Point_Cloud_Instance_Segmentation_CVPR_2025_paper.pdf
2025,RetentiveBEV: BEV transformer for visual 3D object detection,COMP-REAS,RetentiveBEV- BEV transformer for visual 3D object detection.pdf,https://journals.sagepub.com/doi/pdf/10.1177/01423312241308367
2025,Rethinking Visual Intelligence: Insights from Video Pretraining,ML-FNDTNS,Rethinking Visual Intelligence- Insights from Video Pretraining.pdf,https://arxiv.org/pdf/2510.24448.pdf
2025,Revisiting the Test-Time Scaling of o1-like Models,COMP-REAS,Revisiting the Test-Time Scaling of o1-like Models.pdf,https://aclanthology.org/2025.acl-long.232.pdf
2025,Scaling Transformer-Based Novel View Synthesis with Models Token Disentanglement and Synthetic Data,ML-FNDTNS,Scaling Transformer-Based Novel View Synthesis with Models Token Disentanglement and Synthetic Data.pdf,https://openaccess.thecvf.com/content/ICCV2025/papers/Nair_Scaling_Transformer-Based_Novel_View_Synthesis_with_Models_Token_Disentanglement_and_ICCV_2025_paper.pdf
2025,Self-Improving Language Models for Evolutionary Program Synthesis: A Case Study on ARC-AGI (SOAR),COMP-REAS,Self-Improving Language Models for Evolutionary Program Synthesis- A Case Study on ARC-AGI (SOAR).pdf,https://openreview.net/pdf?id=z4IG090qt2
2025,SparseVoxFormer: Sparse Voxel-based Transformer for Multi-modal 3D Object Detection,XFORM-DIM,SparseVoxFormer- Sparse Voxel-based Transformer for Multi-modal 3D Object Detection.pdf,https://arxiv.org/pdf/2503.08092.pdf
2025,Streaming 4D Panoptic Segmentation via Dual Threads,MIS-CLASS,Streaming 4D Panoptic Segmentation via Dual Threads.pdf,https://arxiv.org/pdf/2510.17664.pdf
2025,TReB: A Comprehensive Benchmark for Evaluating Table Reasoning Evolution,DATA-BNCH,TReB- A Comprehensive Benchmark for Evaluating Table Reasoning Evolution.pdf,https://arxiv.org/pdf/2506.18421.pdf
2025,Test-Time Learning for Large Language Models (TLM / TTL),COMP-REAS,Test-Time Learning for Large Language Models (TLM - TTL).pdf,https://openreview.net/pdf?id=iCYbIaGKSR
2025,Test-time Adaptation of Tiny Recursive Models,ML-FNDTNS,Test-time Adaptation of Tiny Recursive Models.pdf,https://trelis.com/wp-content/uploads/2025/11/mcgovern_test_time_adaptation_trm.pdf
2025,The Art of Scaling Test-Time Compute for LLMs,DATA-BNCH,The Art of Scaling Test-Time Compute for LLMs.pdf,https://arxiv.org/pdf/2512.02008.pdf
2025,Towards the Next Generation of Symbolic Regression Benchmarks (SRBench),DATA-BNCH,Towards the Next Generation of Symbolic Regression Benchmarks (SRBench).pdf,https://arxiv.org/pdf/2505.03977.pdf
2025,Understanding the RoPE Extensions of Long-Context LLMs,ML-FNDTNS,Understanding the RoPE Extensions of Long-Context LLMs.pdf,https://aclanthology.org/2025.coling-main.600.pdf
2025,Wavelet-based Positional Representation for Long Context,POS-ENCDR,Wavelet-based Positional Representation for Long Context.pdf,https://openreview.net/pdf?id=OhauMUNW8T
2025,Zero-Shot 4D LiDAR Panoptic Segmentation (SAL-4D),ML-FNDTNS,Zero-Shot 4D LiDAR Panoptic Segmentation (SAL-4D).pdf,https://openaccess.thecvf.com/content/CVPR2025/papers/Zhang_Zero-Shot_4D_Lidar_Panoptic_Segmentation_CVPR_2025_paper.pdf
